"Time","cadvisor","grafana","mockpt-opcua-mqtt-client","mosquitto-broker","node-exporter","physical_twin_emulator","portainer","prometheus","state-exporter"
2025-11-17 12:24:45,78.6 kB/s,63.4 B/s,,1.93 kB/s,10.9 kB/s,1.42 kB/s,0 B/s,5.43 kB/s,9.04 kB/s
2025-11-17 12:25:00,78.5 kB/s,15.3 B/s,1.10 kB/s,3.52 kB/s,11.6 kB/s,2.85 kB/s,0 B/s,5.41 kB/s,9.58 kB/s
2025-11-17 12:25:15,74.5 kB/s,6.95 kB/s,1.12 kB/s,3.88 kB/s,12.2 kB/s,2.83 kB/s,0 B/s,5.43 kB/s,8.72 kB/s
2025-11-17 12:25:30,74.8 kB/s,7.34 kB/s,1.08 kB/s,3.86 kB/s,12.2 kB/s,2.69 kB/s,0 B/s,6.88 kB/s,10.1 kB/s
2025-11-17 12:25:45,61.9 kB/s,56.7 B/s,987 B/s,3.90 kB/s,13.2 kB/s,2.93 kB/s,0 B/s,5.46 kB/s,9.94 kB/s
2025-11-17 12:26:00,85.6 kB/s,89.7 B/s,1.06 kB/s,3.90 kB/s,12.2 kB/s,2.83 kB/s,0 B/s,5.51 kB/s,9.58 kB/s
2025-11-17 12:26:15,80.7 kB/s,66.9 B/s,1.12 kB/s,3.87 kB/s,12.4 kB/s,2.96 kB/s,0 B/s,5.44 kB/s,8.72 kB/s
2025-11-17 12:26:30,82.2 kB/s,83.6 B/s,1.07 kB/s,3.87 kB/s,12.1 kB/s,2.87 kB/s,0 B/s,5.61 kB/s,9.36 kB/s
2025-11-17 12:26:45,85.1 kB/s,76.3 B/s,1.07 kB/s,3.91 kB/s,12.0 kB/s,2.89 kB/s,0 B/s,5.31 kB/s,9.23 kB/s
2025-11-17 12:27:00,74.1 kB/s,22.1 kB/s,1.08 kB/s,3.90 kB/s,12.6 kB/s,2.96 kB/s,0 B/s,9.47 kB/s,9.78 kB/s
2025-11-17 12:27:15,75.0 kB/s,97.4 B/s,1.09 kB/s,3.89 kB/s,12.2 kB/s,2.84 kB/s,0 B/s,5.58 kB/s,10.1 kB/s
2025-11-17 12:27:30,75.2 kB/s,151 B/s,1.07 kB/s,3.85 kB/s,12.5 kB/s,2.86 kB/s,0 B/s,5.64 kB/s,9.61 kB/s
2025-11-17 12:27:45,72.2 kB/s,89.3 B/s,1.08 kB/s,3.88 kB/s,12.9 kB/s,2.94 kB/s,0 B/s,4.88 kB/s,10.2 kB/s
2025-11-17 12:28:00,74.8 kB/s,135 B/s,1.07 kB/s,3.87 kB/s,12.3 kB/s,2.92 kB/s,0 B/s,5.60 kB/s,9.81 kB/s
2025-11-17 12:28:15,78.8 kB/s,97.5 B/s,1.09 kB/s,3.87 kB/s,13.2 kB/s,2.99 kB/s,0 B/s,5.49 kB/s,8.84 kB/s
2025-11-17 12:28:30,80.3 kB/s,129 B/s,1.09 kB/s,3.88 kB/s,11.8 kB/s,2.90 kB/s,0 B/s,5.53 kB/s,10.1 kB/s
2025-11-17 12:28:45,77.1 kB/s,52.9 B/s,1.10 kB/s,3.89 kB/s,11.5 kB/s,3.06 kB/s,0 B/s,5.36 kB/s,9.48 kB/s
2025-11-17 12:29:00,80.5 kB/s,0 B/s,1.08 kB/s,3.85 kB/s,13.6 kB/s,2.86 kB/s,0 B/s,5.44 kB/s,9.54 kB/s
2025-11-17 12:29:15,74.1 kB/s,5.10 B/s,1.09 kB/s,3.86 kB/s,12.2 kB/s,2.83 kB/s,0 B/s,5.36 kB/s,8.38 kB/s
2025-11-17 12:29:30,74.8 kB/s,0 B/s,1.07 kB/s,3.87 kB/s,13.2 kB/s,2.97 kB/s,0 B/s,5.37 kB/s,9.86 kB/s
2025-11-17 12:29:45,83.2 kB/s,14.2 B/s,1.10 kB/s,3.90 kB/s,12.3 kB/s,2.89 kB/s,0 B/s,4.78 kB/s,9.59 kB/s
2025-11-17 12:30:00,80.7 kB/s,13.9 B/s,1.08 kB/s,3.90 kB/s,13.0 kB/s,2.89 kB/s,0 B/s,5.47 kB/s,9.46 kB/s
2025-11-17 12:30:15,76.3 kB/s,0 B/s,1.09 kB/s,3.91 kB/s,10.8 kB/s,2.94 kB/s,0 B/s,5.57 kB/s,8.91 kB/s
2025-11-17 12:30:30,76.3 kB/s,11.8 B/s,966 B/s,3.89 kB/s,13.7 kB/s,2.92 kB/s,0 B/s,5.39 kB/s,7.74 kB/s
2025-11-17 12:30:45,81.6 kB/s,6.73 B/s,1.08 kB/s,3.90 kB/s,12.4 kB/s,2.91 kB/s,0 B/s,5.40 kB/s,9.56 kB/s
2025-11-17 12:31:00,87.2 kB/s,22.6 B/s,1.07 kB/s,3.88 kB/s,11.7 kB/s,2.62 kB/s,0 B/s,5.24 kB/s,9.74 kB/s
2025-11-17 12:31:15,74.8 kB/s,12.8 B/s,1.08 kB/s,3.55 kB/s,11.2 kB/s,2.57 kB/s,0 B/s,5.38 kB/s,9.13 kB/s
2025-11-17 12:31:30,73.1 kB/s,8.71 B/s,1.08 kB/s,3.88 kB/s,12.6 kB/s,2.92 kB/s,0 B/s,5.38 kB/s,10.0 kB/s
2025-11-17 12:31:45,83.4 kB/s,69.8 B/s,1.08 kB/s,3.88 kB/s,12.6 kB/s,2.97 kB/s,0 B/s,5.52 kB/s,9.02 kB/s
2025-11-17 12:32:00,76.9 kB/s,52.4 B/s,,2.31 kB/s,13.4 kB/s,1.80 kB/s,0 B/s,5.42 kB/s,8.99 kB/s